Average_goals_scored_last10,Average_HT_goals_scored_last10,Average_shots_last10,Average_shots_on_target_last10,Average_fouls_last10,Average_corners_last10,Average_yellow_cards_last10,Average_red_cards_last10,Average_goals_conceded_last10,Average_HT_goals_conceded_last10,Average_shots_conceded_last10,Average_shots_on_target_conceded_last10,Average_fouls_conceded_last10,Average_corners_conceded_last10,Average_yellow_cards_conceded_last10,Average_red_cards_conceded_last10,Average_B365Odds_last10,Average_B365Odds_Against_last10,Average_B365DrawOdds_last10,Average_BWOdds_last10,Average_BWOdds_against_last10,Average_BWDrawOdds_last10,Average_WHOdds_last10,Average_WHOdds_Against_last10
2.3,1.2,12.8,5.1,10.6,6.6,1.6,0.1,2.736,4.465,2.598,4.504,2.654,4.453,1.8,1.0,14.9,5.2,13.1,5.5,2.2,0.1,3.5370000000000004,3.724
1.8,0.9,10.3,4.4,9.7,4.8,1.6,0.1,3.3939999999999997,4.056,3.396,4.050000000000001,3.403,3.9800000000000004,1.7,1.1,18.2,6.2,9.6,6.6,1.4,0.2,2.6599999999999997,2.6719999999999997
1.4,0.6,13.0,4.4,11.2,3.9,1.6,0.1,2.6790000000000003,4.135,2.6580000000000004,4.2299999999999995,2.695,4.148,1.5,0.4,10.1,4.0,10.1,5.4,2.0,0.0,3.9590000000000005,3.968999999999999
1.0,0.7,10.1,3.3,12.0,3.8,2.2,0.2,5.6049999999999995,4.583,5.785,4.5649999999999995,5.755000000000001,4.4350000000000005,1.7,0.7,15.9,5.6,9.5,6.7,1.0,0.1,1.8439999999999999,1.864
1.1,0.7,13.0,4.4,11.6,7.4,2.3,0.1,3.093000000000001,4.130000000000001,3.057,4.1499999999999995,3.1250000000000004,4.09,1.9,0.6,13.5,4.9,13.5,4.2,2.2,0.0,3.2299999999999995,3.277
1.2,0.3,14.7,4.5,9.5,6.0,2.5,0.1,3.5540000000000007,3.8150000000000004,3.46,3.8400000000000007,3.539,3.7950000000000004,1.5,0.7,17.5,5.5,11.4,6.1,1.5,0.0,2.475,2.481
2.1,1.0,12.6,5.1,10.9,6.9,1.9,0.1,2.7590000000000003,4.365,2.621,4.414,2.675,4.393,1.7,1.0,15.2,5.5,13.7,5.8,2.4,0.1,3.507,3.664
1.5,0.5,13.1,5.0,9.5,5.5,2.1,0.1,3.567,4.188000000000001,3.7769999999999997,4.1979999999999995,3.6789999999999994,4.154999999999999,1.2,0.3,10.4,4.0,10.1,4.2,1.4,0.2,3.019,2.96
0.8,0.5,11.8,4.0,11.4,4.8,2.2,0.0,4.683,4.055,4.845,4.11,4.877000000000001,3.973,0.7,0.3,12.2,3.7,9.7,4.8,1.0,0.1,2.187,2.173
1.3,0.7,13.8,4.9,11.1,4.7,2.5,0.1,3.968000000000001,3.79,3.9,3.7629999999999995,3.9379999999999997,3.745,1.5,0.6,12.7,4.2,10.7,6.6,1.9,0.1,2.067,2.0980000000000003
