date,team,home_away,GoalsScored,HTGoalsScored,Shots,ShotsOnTarget,Fouls,Corners,YellowCards,RedCards,B365Odds,B365DrawOdds,BWOdds,BWDrawOdds,WHOdds,WHDrawOdds,FullTimeResult,GoalsConceded,HTGoalsConceded,shotsConceded,shotsOnTargetConceded,foulsConceded,cornersConceded,yellowCardsConceded,redCardsConceded,B365OddsAgainst,BWOddsAgainst,WHOddsAgainst
2008-03-30 12:00:00,Everton,A,0.0,0.0,3.0,2.0,14.0,4.0,4.0,0.0,5.0,3.6,4.3,3.35,4.2,3.0,H,1.0,1.0,15.0,9.0,13.0,11.0,1.0,0.0,1.72,1.75,1.8
2008-03-30 12:00:00,Newcastle,A,4.0,1.0,17.0,9.0,8.0,7.0,1.0,0.0,5.5,3.6,5.5,3.4,5.0,3.5,A,1.0,1.0,18.0,10.0,10.0,6.0,1.0,0.0,1.66,1.6,1.57
2008-03-29 12:00:00,West Ham,A,1.0,1.0,10.0,4.0,10.0,4.0,1.0,0.0,3.25,3.3,2.85,3.15,2.88,3.1,H,2.0,1.0,22.0,12.0,9.0,13.0,2.0,0.0,2.25,2.3,2.2
2008-03-29 12:00:00,Blackburn,A,0.0,0.0,9.0,6.0,15.0,7.0,5.0,0.0,3.0,3.3,2.85,3.0,2.75,3.1,D,0.0,0.0,8.0,2.0,10.0,6.0,3.0,1.0,2.4,2.4,2.3
2008-03-29 12:00:00,Wigan,A,0.0,0.0,17.0,9.0,13.0,4.0,2.0,0.0,4.5,3.6,4.5,3.35,3.8,3.25,H,2.0,1.0,12.0,7.0,10.0,5.0,1.0,0.0,1.8,1.75,1.8
2008-03-29 12:00:00,Aston Villa,A,0.0,0.0,13.0,6.0,5.0,7.0,1.0,0.0,12.0,5.0,8.5,4.75,9.0,4.2,H,4.0,2.0,14.0,7.0,7.0,4.0,1.0,0.0,1.3,1.3,1.29
2008-03-29 12:00:00,Fulham,A,2.0,1.0,9.0,4.0,16.0,5.0,4.0,0.0,2.4,3.3,2.4,3.15,2.25,3.2,D,2.0,1.0,19.0,13.0,18.0,4.0,2.0,0.0,3.0,2.75,2.75
2008-03-29 12:00:00,Arsenal,A,3.0,0.0,17.0,8.0,10.0,6.0,2.0,1.0,1.72,3.6,1.6,3.5,1.67,3.3,A,2.0,2.0,13.0,9.0,12.0,8.0,2.0,0.0,5.0,5.25,4.5
2008-03-29 12:00:00,Man City,A,1.0,0.0,8.0,4.0,10.0,2.0,2.0,0.0,3.0,3.3,2.75,3.1,2.8,3.1,H,3.0,1.0,10.0,7.0,13.0,5.0,0.0,1.0,2.4,2.4,2.25
2008-03-23 12:00:00,Liverpool,A,0.0,0.0,8.0,4.0,12.0,4.0,3.0,1.0,4.0,3.3,3.8,3.2,3.6,3.0,H,3.0,1.0,22.0,15.0,11.0,2.0,1.0,0.0,2.0,1.9,1.95
2008-03-23 12:00:00,Arsenal,A,1.0,0.0,7.0,5.0,13.0,2.0,1.0,0.0,3.5,3.2,3.05,3.15,3.2,3.0,H,2.0,0.0,11.0,8.0,10.0,4.0,3.0,0.0,2.2,2.2,2.1
2008-03-22 12:00:00,West Ham,A,1.0,0.0,13.0,5.0,10.0,4.0,0.0,0.0,5.0,3.6,4.7,3.35,5.0,3.3,D,1.0,1.0,14.0,7.0,10.0,4.0,0.0,0.0,1.72,1.7,1.62
2008-03-22 12:00:00,Wigan,A,1.0,1.0,14.0,7.0,15.0,9.0,3.0,1.0,5.0,3.6,4.7,3.35,4.2,3.25,H,3.0,2.0,11.0,7.0,19.0,1.0,1.0,1.0,1.72,1.7,1.73
