match_id,date,home_team,away_team,FTHG,FTAG,FTR,HTHG,HTAG,HTR,referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,WHH,WHD,WHA
4304,2015-12-20 12:00:00,Watford,Liverpool,3.0,0.0,1,2.0,0.0,H,M Clattenburg,6.0,12.0,5.0,4.0,6.0,9.0,7.0,9.0,1.0,0.0,0.0,0.0,4.2,3.6,1.95,4.0,3.3,2.0,4.0,3.2,2.0
4305,2015-12-21 12:00:00,Arsenal,Man City,2.0,1.0,1,2.0,0.0,H,A Marriner,8.0,20.0,5.0,6.0,5.0,16.0,4.0,8.0,0.0,2.0,0.0,0.0,2.45,3.5,3.0,2.45,3.4,3.0,2.4,3.1,3.1
4306,2015-12-26 12:00:00,Aston Villa,West Ham,1.0,1.0,2,0.0,1.0,A,M Dean,15.0,10.0,8.0,4.0,14.0,13.0,9.0,6.0,3.0,3.0,0.0,0.0,2.63,3.25,2.75,2.65,3.25,2.75,2.7,3.1,2.7
4307,2015-12-26 12:00:00,Bournemouth,Crystal Palace,0.0,0.0,2,0.0,0.0,D,M Oliver,10.0,8.0,4.0,0.0,10.0,13.0,8.0,9.0,1.0,0.0,0.0,0.0,2.4,3.3,3.0,2.45,3.4,2.9,2.5,3.2,2.9
4308,2015-12-26 12:00:00,Chelsea,Watford,2.0,2.0,2,1.0,1.0,D,A Marriner,17.0,12.0,2.0,3.0,7.0,15.0,9.0,4.0,1.0,4.0,0.0,0.0,1.44,4.5,7.5,1.45,4.6,7.0,1.44,4.2,8.0
4309,2015-12-26 12:00:00,Liverpool,Leicester,1.0,0.0,1,0.0,0.0,D,M Atkinson,25.0,7.0,4.0,3.0,11.0,8.0,7.0,6.0,2.0,1.0,0.0,0.0,1.91,3.8,3.8,1.95,3.7,3.75,1.95,3.5,3.8
4310,2015-12-26 12:00:00,Man City,Sunderland,4.0,1.0,1,3.0,0.0,H,A Taylor,19.0,11.0,9.0,3.0,10.0,11.0,5.0,1.0,1.0,1.0,0.0,0.0,1.2,7.0,13.0,1.22,6.25,14.5,1.22,6.0,13.0
4311,2015-12-26 12:00:00,Newcastle,Everton,0.0,1.0,3,0.0,0.0,D,L Mason,10.0,20.0,1.0,7.0,16.0,12.0,1.0,7.0,2.0,2.0,0.0,0.0,3.2,3.5,2.2,3.1,3.5,2.25,3.25,3.3,2.25
4312,2015-12-26 12:00:00,Southampton,Arsenal,4.0,0.0,1,1.0,0.0,H,J Moss,15.0,7.0,5.0,4.0,10.0,9.0,3.0,4.0,1.0,0.0,0.0,0.0,3.6,3.5,2.05,3.5,3.5,2.1,3.6,3.3,2.1
4313,2015-12-26 12:00:00,Stoke,Man United,2.0,0.0,1,2.0,0.0,H,K Friend,13.0,11.0,3.0,6.0,13.0,16.0,1.0,12.0,1.0,2.0,0.0,0.0,3.25,3.2,2.3,3.1,3.25,2.4,3.1,3.1,2.4
4314,2015-12-26 12:00:00,Swansea,West Brom,1.0,0.0,1,1.0,0.0,H,R East,7.0,9.0,2.0,3.0,10.0,13.0,0.0,7.0,1.0,3.0,0.0,0.0,1.91,3.4,4.5,1.91,3.4,4.4,2.05,3.1,4.0
4315,2015-12-26 12:00:00,Tottenham,Norwich,3.0,0.0,1,2.0,0.0,H,M Jones,15.0,11.0,10.0,3.0,4.0,13.0,9.0,4.0,1.0,2.0,0.0,0.0,1.4,4.75,8.0,1.42,4.4,7.0,1.44,4.2,8.0
4316,2015-12-28 12:00:00,Arsenal,Bournemouth,2.0,0.0,1,1.0,0.0,H,R East,13.0,10.0,6.0,3.0,7.0,8.0,9.0,3.0,2.0,0.0,0.0,0.0,1.44,4.75,8.0,1.44,4.5,8.0,1.36,4.8,8.5
4317,2015-12-28 12:00:00,Crystal Palace,Swansea,0.0,0.0,2,0.0,0.0,D,N Swarbrick,10.0,5.0,2.0,3.0,11.0,16.0,7.0,4.0,3.0,2.0,0.0,0.0,2.1,3.4,4.0,2.05,3.3,4.0,1.91,3.5,4.0
