date,match_id,team,home_away,GoalsScored,HTGoalsScored,Shots,ShotsOnTarget,Fouls,Corners,YellowCards,RedCards,B365Odds,B365DrawOdds,BWOdds,BWDrawOdds,WHOdds,WHDrawOdds,FullTimeResult,GoalsConceded,HTGoalsConceded,shotsConceded,shotsOnTargetConceded,foulsConceded,cornersConceded,yellowCardsConceded,redCardsConceded,B365OddsAgainst,BWOddsAgainst,WHOddsAgainst
2018-09-15 12:00:00,5318,Huddersfield,H,0.0,0.0,15.0,2.0,11.0,5.0,1.0,0.0,3.3,3.1,3.1,3.1,3.1,3.0,3,1.0,1.0,7.0,2.0,17.0,3.0,2.0,0.0,2.5,2.45,2.45
2018-09-22 12:00:00,5331,Huddersfield,A,1.0,1.0,9.0,2.0,16.0,1.0,1.0,0.0,6.5,4.0,6.25,3.9,6.0,3.75,1,3.0,1.0,18.0,8.0,10.0,3.0,2.0,0.0,1.61,1.57,1.6
2018-09-29 12:00:00,5339,Huddersfield,H,0.0,0.0,9.0,5.0,17.0,3.0,2.0,0.0,8.5,4.5,7.5,4.5,7.0,4.4,3,2.0,2.0,10.0,6.0,16.0,0.0,2.0,0.0,1.44,1.44,1.47
2018-10-06 12:00:00,5347,Huddersfield,A,1.0,0.0,19.0,2.0,11.0,10.0,2.0,0.0,4.2,3.1,4.1,3.1,4.0,3.0,2,1.0,1.0,6.0,3.0,8.0,1.0,2.0,0.0,2.14,2.05,2.15
2018-10-20 12:00:00,5359,Huddersfield,H,0.0,0.0,13.0,1.0,9.0,2.0,0.0,0.0,11.0,5.5,11.0,5.25,11.0,5.0,3,1.0,1.0,11.0,2.0,6.0,4.0,2.0,0.0,1.33,1.3,1.32
2018-10-27 12:00:00,5371,Huddersfield,A,0.0,0.0,13.0,7.0,13.0,3.0,2.0,0.0,5.25,3.75,5.0,3.7,5.0,3.6,1,3.0,2.0,12.0,6.0,9.0,3.0,1.0,0.0,1.75,1.72,1.75
2018-11-05 12:00:00,5385,Huddersfield,H,1.0,1.0,10.0,2.0,11.0,5.0,1.0,0.0,2.3,3.5,2.25,3.3,2.3,3.4,1,0.0,0.0,7.0,1.0,8.0,4.0,2.0,0.0,3.3,3.3,3.1
2018-11-10 12:00:00,5388,Huddersfield,H,1.0,1.0,15.0,7.0,9.0,5.0,1.0,0.0,3.4,3.25,3.4,3.2,3.3,3.2,2,1.0,0.0,12.0,5.0,8.0,6.0,1.0,0.0,2.35,2.25,2.3
2018-11-25 12:00:00,5404,Huddersfield,A,2.0,1.0,14.0,6.0,8.0,5.0,2.0,0.0,8.0,4.33,7.5,4.0,8.0,4.0,3,0.0,0.0,12.0,3.0,9.0,3.0,1.0,0.0,1.5,1.5,1.47
2018-12-01 12:00:00,5408,Huddersfield,H,1.0,1.0,7.0,2.0,10.0,2.0,0.0,1.0,2.5,3.0,2.35,3.0,2.45,3.0,3,2.0,1.0,14.0,6.0,12.0,6.0,2.0,0.0,3.4,3.4,3.25
2018-12-04 12:00:00,5416,Huddersfield,A,1.0,1.0,23.0,6.0,11.0,8.0,2.0,0.0,6.0,3.8,5.5,3.8,5.5,3.7,1,2.0,2.0,6.0,2.0,14.0,4.0,4.0,0.0,1.66,1.65,1.67
2018-12-08 12:00:00,5426,Huddersfield,A,0.0,0.0,6.0,0.0,20.0,1.0,4.0,0.0,12.0,6.0,10.5,5.75,12.0,6.0,1,1.0,0.0,14.0,2.0,13.0,7.0,5.0,0.0,1.28,1.28,1.25
2018-12-15 12:00:00,5438,Huddersfield,H,0.0,0.0,15.0,5.0,5.0,10.0,1.0,0.0,2.6,3.1,2.55,3.0,2.62,3.0,3,1.0,0.0,8.0,5.0,13.0,1.0,1.0,0.0,3.1,3.1,3.0
2018-12-22 12:00:00,5451,Huddersfield,H,1.0,0.0,16.0,5.0,12.0,8.0,2.0,0.0,3.1,3.1,3.1,3.1,3.0,3.0,3,3.0,2.0,13.0,6.0,9.0,2.0,3.0,0.0,2.6,2.5,2.6
2018-12-26 12:00:00,5462,Huddersfield,A,1.0,0.0,10.0,2.0,13.0,3.0,1.0,0.0,15.0,6.5,14.0,6.25,13.0,6.5,1,3.0,1.0,16.0,10.0,9.0,5.0,1.0,0.0,1.25,1.22,1.22
2018-12-29 12:00:00,5467,Huddersfield,A,0.0,0.0,9.0,5.0,10.0,3.0,1.0,0.0,3.75,3.4,3.8,3.3,4.0,3.2,1,1.0,0.0,14.0,5.0,12.0,4.0,3.0,0.0,2.0,2.05,2.05
2019-01-02 12:00:00,5481,Huddersfield,H,1.0,1.0,9.0,2.0,11.0,5.0,0.0,1.0,2.14,3.1,2.15,3.1,2.1,3.1,3,2.0,1.0,16.0,8.0,9.0,2.0,4.0,1.0,4.2,3.8,4.0
2019-01-12 12:00:00,5488,Huddersfield,A,0.0,0.0,14.0,2.0,14.0,10.0,1.0,0.0,3.6,3.25,3.6,3.1,3.6,3.1,2,0.0,0.0,3.0,0.0,12.0,3.0,3.0,0.0,2.25,2.2,2.2
2019-01-20 12:00:00,5505,Huddersfield,H,0.0,0.0,5.0,2.0,10.0,1.0,2.0,0.0,21.0,8.5,21.0,8.0,19.0,8.0,3,3.0,1.0,12.0,4.0,9.0,4.0,2.0,0.0,1.16,1.14,1.14
2019-01-29 12:00:00,5508,Huddersfield,H,0.0,0.0,10.0,2.0,13.0,3.0,1.0,0.0,4.0,3.3,4.0,3.3,4.0,3.2,3,1.0,1.0,10.0,5.0,10.0,4.0,4.0,1.0,2.1,2.05,2.05
2019-02-02 12:00:00,5519,Huddersfield,A,0.0,0.0,5.0,2.0,5.0,2.0,0.0,0.0,19.0,7.5,16.5,7.5,17.0,7.0,1,5.0,2.0,23.0,7.0,8.0,11.0,0.0,0.0,1.2,1.17,1.18
2019-02-09 12:00:00,5530,Huddersfield,H,1.0,0.0,15.0,6.0,17.0,5.0,3.0,0.0,5.75,4.4,5.5,4.1,5.8,4.2,3,2.0,2.0,9.0,4.0,12.0,0.0,2.0,0.0,1.6,1.6,1.6
2019-02-23 12:00:00,5542,Huddersfield,A,0.0,0.0,3.0,1.0,7.0,0.0,0.0,1.0,5.25,3.5,4.75,3.4,5.25,3.3,1,2.0,0.0,29.0,12.0,11.0,12.0,2.0,0.0,1.83,1.83,1.78
2019-02-26 12:00:00,5546,Huddersfield,H,1.0,0.0,15.0,3.0,10.0,3.0,2.0,0.0,5.0,3.5,5.0,3.4,5.0,3.3,1,0.0,0.0,7.0,0.0,10.0,5.0,2.0,0.0,1.85,1.83,1.83
2019-03-02 12:00:00,5556,Huddersfield,A,0.0,0.0,6.0,4.0,6.0,3.0,2.0,0.0,5.25,3.4,5.25,3.4,4.75,3.6,1,1.0,0.0,13.0,4.0,11.0,6.0,2.0,0.0,1.85,1.78,1.78
